"IndID","Loc","BLen","BWdth","BVeins","BSpines","SpLen","NodeLen","LLen","LWdth","LTeeth","ASFilLen","ASAnthLen","ASApenLen","PSFilLen","PSAnthLen","LD1","LD2"
"A3","AlYotm",3.3,0.9,5,4,0.6,0.6,10.5,1.3,5,1.3,0.4,0.5,1.1,0.5,-6.42113879149431,0.578968517473759
"A4","AlYotm",4.9,1,5,4,0.8,0.6,6.5,1,4,1.2,0.5,0.5,1.2,0.5,-4.49427259703443,0.3157870157285
"A5","AlYotm",4.4,1.1,5,4,0.7,0.5,10,1.2,4,1.28888888888889,0.5,0.5,1.2,0.5,-6.83156267431067,0.0389074224484605
"A6","AlYotm",3.7,0.8,5,4,0.6,0.7,7,0.8,5,1.3,0.5,0.5,1.1,0.5,-4.42607682046461,0.998170360950145
"A7","AlYotm",5.1,1,5,3,0.6,0.5,9.6,1.2,3,1.3,0.5,0.5,1.2,0.5,-5.53965628964255,1.21730756325037
"A8","AlYotm",4.1,1,5,5,0.8,0.5,6.1,0.7,4,1.4,0.6,0.5,1.4,0.6,-5.97208107633392,-0.897754531885889
"A9","AlYotm",3.6,1.3,5,5,0.6,0.7,9.1,1,3,1.3,0.6,0.6,1.2,0.6,-6.91110085338776,2.06743102066756
"A10","AlYotm",5.5,1.2,5,4,0.9,0.6,14.3,1,4,1.2,0.5,0.5,1.1,0.5,-6.01449115422435,0.583845656781907
"A11","AlYotm",4.4,0.9,5,3,0.8,0.6,6.8,0.7,5,1.4,0.5,0.5,1.4,0.5,-4.70941408550694,-0.0215350311031828
"A12","AlYotm",2.2,0.8,5,4,0.7,0.5,7.9,0.8,5,1.3,0.5,0.5,1.2,0.5,-6.37375349893501,1.09055543658441
"A13","AlYotm",5.7,1.4,5,4,0.7,0.5,8.3,1.2,4,1.3,0.5,0.6,1.2,0.4,-7.20154041258739,-0.140785935679918
"A14","AlYotm",5,1.3,5,4,0.7,0.7,7.4,1.2,5,1.3,0.6,0.6,1.2,0.4,-6.40345109000747,-0.494416855581352
"A15","AlYotm",5,1.1,5,4,0.6,0.6,7,1,5,1.2,0.5,0.5,1.1,0.5,-5.39258958975557,0.588416003705618
"A16","AlYotm",5,1.2,5,4,0.9,0.5,10.1,1.1,4,1.2,0.5,0.5,1.1,0.4,-6.71362227256678,-0.704162407606041
"A17","AlYotm",5,1.3,5,5,0.8,0.6,9.3,1,4,1.4,0.5,0.5,1.3,0.5,-7.17385561110656,-1.65493441877694
"A18","AlYotm",4.8,1.2,5,6,0.7,0.7,7.8,0.8,5,1.2,0.4,0.4,1.2,0.6,-5.47877005464287,-0.300458194222327
"A19","AlYotm",5,1.2,5,4,0.8,0.6,6.7,0.9,4,1.3,0.5,0.5,1.3,0.5,-5.75355909937613,-0.404544027110229
