"IndID","Loc","BLen","BWdth","BVeins","BSpines","SpLen","NodeLen","LLen","LWdth","LTeeth","ASFilLen","ASAnthLen","ASApenLen","PSFilLen","PSAnthLen","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14"
"K13","Kufranjah",5.5,0.6,5,3,0.9,1.4,7.2,0.8,5,1.3,0.5,0.5,1.2,0.5,-0.112635772399409,1.48379878144943,0.801906329993914,-0.452255829123801,-0.214357196609475,0.536551877862079,-0.0883426841534005,-0.712728779441297,0.320609573343777,0.0553566282661021,0.207919110009508,0.298237126542861,0.639123249601922,-0.411785491141159
"K14","Kufranjah",5.8,0.5,5,2,1.2,1.3,8.1,0.9,5,1.1,0.5,0.5,1.4,0.5,1.30197728746802,0.80626733662615,1.6134519091636,-1.11600363239179,-0.0557227003038729,-0.643352451430201,-1.67838504154489,1.58814957821566,1.37645083203003,0.0942737752330167,-0.911596048715825,0.687830468811052,0.164322414755484,-0.145122226343901
"K15","Kufranjah",5.3,0.5,3,2,1.1,1.5,9,1,4,1.1,0.6,0.5,1.3,0.4,1.9814193229834,-0.730045282050495,0.359539747771571,-0.685411336797177,0.904360282505275,-0.685953724623782,-2.54314559477224,1.30860067052031,-1.33657948416738,0.192071583458113,-0.294478217335928,-0.2245503059523,0.481386162885004,0.275283367514624
"K16","Kufranjah",5.6,0.4,3,2,1.3,1.6,7.4,1.2,3,1.2,0.5,0.6,1.1,0.5,2.90636257125272,-1.2172253298193,-0.783096302593812,1.18534026272439,0.643300780390119,0.11083950008987,1.13991162279855,0.754006863454951,-0.292304318346723,0.274180075127354,-0.414457717250124,-0.281004925116922,-0.225049855920436,0.130823096670224
"K17","Kufranjah",5.7,0.4,3,2,1.3,1.4,6.5,1.1,3,1.3,0.5,0.6,1.1,0.6,2.47230163457958,0.246169411749937,-1.81438599567941,1.48363532383915,0.447322899981276,-0.108907371046805,1.94984562169434,0.049290462322049,0.355124573978579,-0.0872259065971395,-0.183305998106738,0.132628855657731,-0.903669685388979,0.0361690326444655
"K18","Kufranjah",5.9,0.4,3,2,1.2,1.5,6.8,0.8,3,1.1,0.5,0.5,1.2,0.5,2.63076838015629,0.632915935873481,0.764817698997148,1.87051985144567,0.483023862995456,-0.997916549663584,-0.81633306784419,1.40508181548445,-0.386555153965586,-0.156987954610421,0.258704588880931,0.231933082587002,0.212286201660632,0.284754453600928
"K19","Kufranjah",5.1,0.5,3,3,0.9,1.2,7.1,1,4,1.2,0.4,0.5,1.3,0.5,0.516627606216511,0.598149366919141,0.369651135835135,0.46203948490382,-1.41174853121931,-0.183547636900334,0.338532799349632,2.26252751548774,-0.251066411489495,-0.676793881548508,0.130085748836032,-0.264720876585823,0.444065846909481,-0.0834009010764806
"D1","DeadSea",5.4,0.7,5,3,1.3,1.5,8.2,1,4.22222222222222,1.2,0.5,0.5,1.1,0.5,0.764813195970087,-0.376948007101513,1.15016880329013,0.745806641905334,0.0678844675882978,0.182743796843527,-0.310919511596538,-0.648998217273526,0.742926604670122,0.512576850433907,-0.458582348800339,-0.521777294576957,-0.244276153045906,0.173245094453403
"D2","DeadSea",4.8,0.5,3,3,1,1.2,7.2,0.9,4,1.3,0.5,0.5,1.2,0.4,0.505761006009264,0.480857040349738,0.385829233016918,-0.284206126754327,-0.246254180721265,0.105247501199767,0.121017651177917,0.499299208395026,-2.07471171383463,0.216430023372823,0.899472755550017,-0.695618475180664,0.117549397507633,-0.184389073328096
"D3","DeadSea",5.9,0.6,4,2,1.1,1.4,7.9,0.8,5,1.3,0.5,0.5,1.18333333333333,0.5,1.07762830320575,1.1518280446173,0.461486966708153,-0.561956282194348,-0.502636612444212,0.530118681979727,-0.383750130851932,-0.667131218928707,0.289462941242795,-0.0164875756794456,0.886625160241317,0.527903622198173,-0.0636218324475799,0.176959649548951
"D4","DeadSea",5.8,0.6,5,2,1.3,1.8,6,1,3,1.3,0.4,0.5,1.1,0.488235294117647,1.78254684475435,0.151144376005727,1.51667753027747,1.32223678088482,-1.02700138135844,-0.82159469419355,2.29634733079514,-0.780823229343499,0.0707500293621274,0.438130947836703,-0.0465456651189424,-8.95377103351663e-05,0.344445121380575,0.419054730875524
"D5","DeadSea",5.2,0.6,3,3,1,1.2,10,1.2,3,1.2,0.5,0.5,1.1,0.6,0.585984768782545,-1.36463248793469,-1.77540307340187,2.22648924909417,-0.785780317801508,-0.510913204557184,-0.568332523369172,0.37010349136041,0.462853073645833,-0.289244984919022,-0.297380041639648,-0.219008258481818,-0.500205505702923,0.000573245730023764
"D6","DeadSea",6,0.7,5,3,1.3,1.6,7.2,0.8,5,1.27222222222222,0.6,0.5,1.1,0.488235294117647,1.00432874889247,1.0053007016594,1.01534597637316,-0.318881254555424,1.34577061314006,0.499223915341354,-0.884407266540238,-2.10245419265719,0.444808437342409,0.0980181881058808,0.171222113346726,-0.38701137563215,-0.206372360813121,-0.0316416638959981
"D7","DeadSea",6.3,0.6,3,3,1,1.2,7.5,1.2,3,1.2,0.6,0.5,1.1,0.5,1.44419868224903,-1.30208313762137,-0.755388831950395,1.31693428744918,1.25397077899264,-0.825958912176897,-0.565371748154229,-0.439131737426572,-0.919574800802056,-1.51642914216772,-0.139395610035858,-0.136493712953892,-0.187251707929342,-0.415606616285178
"D8","DeadSea",5.8,0.7,5,2,1.1,1.5,6.5,1,4,1.3,0.5,0.4,1.1,0.5,0.697948799648283,0.535749692758456,1.43625342335867,0.709648448746858,-1.10445578185298,-0.755990998886417,0.0552676518418764,-2.02704090970611,-0.492626062031683,-0.735077786913812,-0.426294583608921,0.367371274256057,-0.134859579688249,0.361673027028867
"D9","DeadSea",5.1,0.5,3,3,1,1.4,8,0.9,4,1.3,0.5,0.5,1.3,0.5,0.62385854873904,1.05021175965791,-0.687421553738234,-0.331728614220402,-0.674906892625513,-0.625876411586517,-0.230301462465665,0.687008381000238,-0.56461021585835,-0.0382343466094045,0.62383989689928,-0.573926657568646,0.295448561883994,-0.166706558291967
"D10","DeadSea",5.4,0.7,5,2,1.3,1.5,8,1,4,1.3,0.5,0.5,1.3,0.5,0.899074026604036,0.426524738780945,0.477022708790467,-0.955481538360255,-0.508895621050986,-1.29688566924292,0.313075050009084,-0.373650001143164,0.524075298606366,0.653673876542342,-0.380217035464714,0.0584791771219327,-0.137567661419871,0.397425344569213
"D11","DeadSea",5.8,0.6,3,2,1,1.3,10,1.3,5,1.4,0.5,0.6,1.4,0.5,0.994976801304947,-0.760122389194268,-2.30432100360438,-3.23995144267946,-1.00370721683073,0.0469743833808956,0.780158487739828,0.736199688445135,0.584566496270619,-0.280005476153859,0.488870756455252,0.162881382291784,0.0520077596789596,-0.261871916710384
"D12","DeadSea",5.5,0.5,3,2,1.1,1.8,9.5,1.2,5,1.3,0.6,0.5,1.3,0.5,1.73089012001676,-0.210343964707164,-1.57960961837667,-1.99183834055662,-0.515936526282882,-0.132845987912531,-1.50238601398242,-0.583400655873393,-0.239097792545248,-0.463560595395304,-0.500143882316158,-0.532098215219506,0.122655107623178,0.082389623787423
"D13","DeadSea",6.6,0.6,5,2,1.6,1.5,7.3,1.1,5,1.2,0.5,0.6,1.2,0.4,2.71068910447108,-0.986012375923302,2.04418451169191,-1.74843993863849,1.19523620191459,0.701023952622253,0.696833715778057,0.12783452362483,0.98133758759076,0.427808232003842,-0.0700591191356977,-0.126773560246716,-0.414563220305581,-0.0736613328403118
"D14","DeadSea",6.7,0.5,3,2,1.5,1.2,6.5,1.2,5,1.2,0.5,0.6,1.2,0.4,3.14308623775677,-1.04045893499338,1.10976683817574,-1.58656885430768,1.02735566628076,1.09944911954385,0.752750136423196,1.06697808721636,-0.0697053251992457,-0.934183368678598,0.377531635506582,-0.299888795855542,-0.948766656901671,-0.128392540917558
"D15","DeadSea",5.5,0.7,5,3,1,1.6,6.9,1.2,5,1.3,0.4,0.5,1.1,0.5,0.197359673781119,-0.275489721636001,1.17998000724764,-0.00430125918027599,-1.63338643332973,1.24838000619057,1.49197381191961,-0.724619707127815,0.676246836302812,-0.627188920653201,-0.645532233566472,-0.351061568151219,0.438870974376755,-0.00583855317302392
"D16","DeadSea",5.6,0.6,5,3,1.2,1.1,6.4,0.9,4,1.2,0.5,0.5,1.1,0.4,0.685273636837215,-0.12071182543753,2.41355605184673,0.525700358395969,0.8164647604478,0.158754439335439,0.197288285990872,-0.220215720321034,-0.837623558397775,0.275822157659822,0.121594634141671,-0.0872829517253293,-0.167861899917941,-0.375427656596139
"D17","DeadSea",5.3,0.6,3,2,1,1.4,8.4,1,4,1.4,0.5,0.5,1.3,0.6,0.66544460245781,1.28524668190016,-2.19140544523308,-0.517800534995476,-1.48834827597073,-0.946610320042161,0.439828565280009,-0.29033238565716,0.276869181656984,-0.365205961898022,0.409996620699396,0.240287668799138,-0.279689973207082,0.340498268048901
"D18","DeadSea",5.7,0.6,5,3,1.3,1.1,6.3,0.8,3,1.2,0.5,0.6,1.2,0.5,1.0796933554716,0.584792714538628,0.877324741670281,0.997544101052248,1.92191302226446,-0.828179793968823,1.25358251163342,0.859273300546733,0.629366950362435,0.99692752797511,0.156448206322129,0.269017452170313,-0.145214275039082,-0.313797126423004
"D19","DeadSea",6.1,0.6,3,2,1,1.5,8.2,1.1,5,1.3,0.6,0.5,1.1,0.5,1.57891767098619,-0.210545150455574,-0.958921420219979,-0.623595705435271,0.203011121458136,0.936293179243423,-1.02166457057885,-1.54167194261707,-0.570283092913685,-1.16171984886283,0.21053252994275,0.177852832205197,-0.231728889475891,0.120617533178043
"A1","AlYotm",4.3,0.8,5,4,0.6,0.6,8.5,0.9,4,1.3,0.5,0.5,1.1,0.5,-2.54788876579447,0.0919145881356557,-0.0318939449803454,0.971600667873154,-0.0546119109897442,0.506306932152411,0.0609469927086481,-0.311153468147864,-0.681492411954513,0.521081767162658,0.19881072968671,0.390222997670197,0.116321101984354,-0.578367681767831
"A2","AlYotm",5,0.9,5,3,0.7,0.5,10,1.3,4,1.3,0.5,0.4,1.2,0.5,-2.19898502092133,-1.61971054490694,0.0335549477231781,-0.128377728897616,-1.78563564022569,-1.06991875054438,-0.763115397542345,-0.719868643959079,-0.514441791712838,-0.812241259201041,-0.606458880740314,0.693457040304933,-0.566248940128624,-0.365275783381768
